,user_id,checkout_page,order_value,purchased,gender,browser,time_on_page
0,877621,A,29.41013086,1,F,chrome,66.16862815
1,876599,A,,0,M,firefox,49.8018865
2,905407,A,27.44684496,1,M,chrome,56.74485581
3,883562,A,30.602233,1,M,safari,71.89071839
4,840542,A,29.66889498,1,F,safari,67.41069588
5,861142,A,22.5568053,1,F,safari,33.27266544
6,852680,A,27.37522104,1,F,safari,56.40106101
7,867863,A,,0,M,safari,43.1837135
8,873787,A,24.74195287,1,M,safari,43.76137378
9,890765,A,26.02649625,1,M,safari,49.92718202
10,849850,A,25.36010893,1,F,firefox,46.72852285
11,895814,A,,0,M,firefox,62.45128208
12,913677,A,,0,M,chrome,54.1324527
13,874586,A,25.30418754,1,F,firefox,46.4601002
14,908947,A,26.10965808,1,F,safari,50.32635879
15,913089,A,25.83418582,1,F,safari,49.00409193
16,859614,A,28.73519768,1,F,chrome,62.92894888
17,835521,A,24.48710434,1,M,chrome,42.53810083
18,844910,A,25.78266925,1,F,firefox,48.75681242
19,875422,A,22.86476065,1,F,safari,34.75085113
20,834734,A,18.61752546,1,M,safari,14.36412221
21,893632,A,26.63404649,1,F,chrome,52.84342315
22,881551,A,27.1610905,1,F,chrome,55.37323439
23,867918,A,23.14458745,1,F,chrome,36.09401976
24,887062,A,30.67438656,1,F,firefox,72.23705549
25,849203,A,21.36408581,1,M,firefox,27.5476119
26,881161,A,25.11439629,1,F,firefox,45.54910221
27,857346,A,24.53204037,1,M,firefox,42.7537938
28,859021,A,28.83194804,1,M,chrome,63.39335057
29,845277,A,28.67339692,1,F,chrome,62.63230524
30,912261,A,25.38736856,1,M,safari,46.85936911
31,884255,A,25.9454063,1,F,firefox,49.53795024
32,853808,A,22.78053563,1,F,chrome,34.34657103
33,857126,A,,0,M,safari,21.23044238
34,893180,A,,0,M,chrome,40.82505421
35,854140,A,25.39087242,1,M,safari,46.87618763
36,843080,A,28.0757267,1,F,firefox,59.76348817
37,903017,A,28.00594962,1,F,firefox,59.42855819
38,858653,A,24.03168296,1,M,firefox,40.35207819
39,846771,A,24.24424312,1,F,firefox,41.37236699
40,874652,A,22.37861759,1,F,safari,32.41736442
41,843767,A,21.44995516,1,F,safari,27.95978475
42,839576,A,20.73432452,1,F,safari,24.52475771
43,846343,A,,0,M,firefox,68.40930474
44,891579,A,23.72586955,1,F,safari,38.88417382
45,886907,A,23.90481425,1,M,firefox,39.74310838
46,870013,A,21.8680116,1,F,firefox,29.96645568
47,885559,A,26.94372589,1,M,safari,54.32988427
48,874499,A,20.96525538,1,M,chrome,25.63322583
49,910191,A,24.4681493,1,F,chrome,42.44711664
50,901351,A,,0,M,chrome,34.25440127
51,849193,A,25.96725624,1,M,safari,49.64282997
52,912683,A,,0,M,firefox,38.87033835
53,905004,A,,0,M,safari,30.83241379
54,869086,A,24.92954443,1,M,firefox,44.66181326
55,889161,A,,0,M,chrome,50.13998245
56,901299,A,25.16629306,1,F,safari,45.79820667
57,904464,A,25.75617974,1,F,chrome,48.62966277
58,880340,A,23.41419477,1,F,chrome,37.38813488
59,861777,A,24.09314709,1,F,safari,40.64710601
60,843940,A,23.31884888,1,F,firefox,36.93047463
61,848694,A,24.1011171,1,F,firefox,40.68536206
62,852178,A,,0,M,firefox,35.24224462
63,875636,A,20.68429349,1,F,firefox,24.28460877
64,856037,A,25.44356536,1,F,chrome,47.12911371
65,903146,A,23.99554766,1,M,firefox,40.17862877
66,889579,A,20.92450413,1,F,safari,25.43761984
67,838038,A,26.15695564,1,M,firefox,50.55338707
68,898890,A,22.73175409,1,F,safari,34.11241963
69,899569,A,,0,M,chrome,45.62334475
70,842974,A,26.82272641,1,M,chrome,53.74908675
71,850486,A,25.32245728,1,F,chrome,46.54779493
72,856974,A,27.84850171,1,F,chrome,58.67280821
73,863579,A,21.91293545,1,M,safari,30.18209016
74,871399,A,26.0058541,1,M,chrome,49.82809969
75,883501,A,23.28797477,1,M,chrome,36.78227891
76,894237,A,22.82300713,1,M,safari,34.55043421
77,875857,A,23.55287584,1,F,safari,38.05380402
